GEO_ID,NAME,DP04_0057E,DP04_0057M,DP04_0058E,DP04_0058M,DP04_0059E,DP04_0059M,DP04_0060E,DP04_0060M,DP04_0061E,DP04_0061M,DP04_0057PE,DP04_0057PM,DP04_0058PE,DP04_0058PM,DP04_0059PE,DP04_0059PM,DP04_0060PE,DP04_0060PM,DP04_0061PE,DP04_0061PM
Geography,Geographic Area Name,Estimate!!VEHICLES AVAILABLE!!Occupied housing units,Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,Estimate!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,Percent!!VEHICLES AVAILABLE!!Occupied housing units,Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,Percent!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,Percent Margin of Error!!VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available
0600000US1205790286,"Brandon CCD, Hillsborough County, Florida",73063,1422,2865,504,27098,1398,29937,1467,13163,931,73063,(X),3.9,0.7,37.1,1.7,41,1.7,18,1.3
0600000US1205791735,"Keystone-Citrus Park CCD, Hillsborough County, Florida",56467,1236,1874,420,17759,1007,25951,1048,10883,937,56467,(X),3.3,0.7,31.5,1.7,46,1.6,19.3,1.5
0600000US1205792614,"Palm River-Gibsonton CCD, Hillsborough County, Florida",21804,937,771,244,8681,679,8965,900,3387,450,21804,(X),3.5,1.1,39.8,2.9,41.1,3.3,15.5,2
0600000US1205792769,"Plant City CCD, Hillsborough County, Florida",31184,962,1613,425,9473,860,11878,641,8220,604,31184,(X),5.2,1.4,30.4,2.2,38.1,1.9,26.4,2
0600000US1205793003,"Ruskin CCD, Hillsborough County, Florida",40079,909,2063,494,16188,858,16262,952,5566,691,40079,(X),5.1,1.2,40.4,2,40.6,2.3,13.9,1.6
0600000US1205793367,"Tampa CCD, Hillsborough County, Florida",294992,2187,23034,1281,124394,2462,106804,2742,40760,1500,294992,(X),7.8,0.4,42.2,0.8,36.2,0.9,13.8,0.5
0600000US1205793693,"Wimauma-Riverview CCD, Hillsborough County, Florida",65603,1259,1883,410,17673,1084,31000,1608,15047,1037,65603,(X),2.9,0.6,26.9,1.6,47.3,2.1,22.9,1.6
1400000US12057000101,Census Tract 1.01; Hillsborough County; Florida,1738,189,86,101,1011,200,474,142,167,93,1738,(X),4.9,5.8,58.2,9.3,27.3,7.6,9.6,5.4
1400000US12057000102,Census Tract 1.02; Hillsborough County; Florida,2498,407,473,193,1238,402,635,258,152,106,2498,(X),18.9,7.1,49.6,12.3,25.4,10.2,6.1,4.2
1400000US12057000201,Census Tract 2.01; Hillsborough County; Florida,1381,182,354,127,707,198,293,123,27,37,1381,(X),25.6,8.8,51.2,11,21.2,9.1,2,2.7
1400000US12057000202,Census Tract 2.02; Hillsborough County; Florida,1906,278,290,261,991,206,378,155,247,131,1906,(X),15.2,11.8,52,12.9,19.8,8.2,13,6.8
1400000US12057000301,Census Tract 3.01; Hillsborough County; Florida,1624,257,420,232,761,209,227,120,216,130,1624,(X),25.9,12.3,46.9,11.2,14,7.1,13.3,8.6
1400000US12057000302,Census Tract 3.02; Hillsborough County; Florida,1185,492,80,56,688,481,266,111,151,68,1185,(X),6.8,5.1,58.1,19.8,22.4,13.2,12.7,8.8
1400000US12057000401,Census Tract 4.01; Hillsborough County; Florida,975,167,148,111,297,103,373,126,157,71,975,(X),15.2,10.1,30.5,9.9,38.3,11.4,16.1,7.4
1400000US12057000402,Census Tract 4.02; Hillsborough County; Florida,1109,130,127,76,478,126,413,128,91,82,1109,(X),11.5,6.7,43.1,10.9,37.2,9.7,8.2,7.5
1400000US12057000500,Census Tract 5; Hillsborough County; Florida,1625,186,34,32,645,177,737,140,209,102,1625,(X),2.1,2,39.7,8.6,45.4,8,12.9,6.4
1400000US12057000601,Census Tract 6.01; Hillsborough County; Florida,1926,210,114,85,937,176,745,229,130,56,1926,(X),5.9,4.4,48.7,9.2,38.7,9.6,6.7,3.1
1400000US12057000602,Census Tract 6.02; Hillsborough County; Florida,1011,126,63,47,311,128,427,124,210,106,1011,(X),6.2,4.9,30.8,11.1,42.2,11.2,20.8,10.5
1400000US12057000701,Census Tract 7.01; Hillsborough County; Florida,1209,133,179,93,644,145,343,117,43,39,1209,(X),14.8,7.8,53.3,9.5,28.4,9.2,3.6,3.2
1400000US12057000702,Census Tract 7.02; Hillsborough County; Florida,1032,142,181,113,501,150,330,107,20,33,1032,(X),17.5,10.5,48.5,13.9,32,8.8,1.9,3.2
1400000US12057000800,Census Tract 8; Hillsborough County; Florida,1327,150,21,25,605,164,515,159,186,105,1327,(X),1.6,1.9,45.6,10.6,38.8,11.4,14,7.7
1400000US12057000901,Census Tract 9.01; Hillsborough County; Florida,1110,126,121,75,642,156,243,108,104,53,1110,(X),10.9,6.7,57.8,11.7,21.9,9.2,9.4,4.8
1400000US12057000902,Census Tract 9.02; Hillsborough County; Florida,2311,364,312,194,1567,403,318,161,114,105,2311,(X),13.5,8.3,67.8,11.6,13.8,7.1,4.9,4.6
1400000US12057001001,Census Tract 10.01; Hillsborough County; Florida,1256,212,225,137,504,148,415,162,112,86,1256,(X),17.9,9.2,40.1,12.4,33,11.5,8.9,6.6
1400000US12057001002,Census Tract 10.02; Hillsborough County; Florida,2049,320,157,78,818,220,779,254,295,205,2049,(X),7.7,3.8,39.9,10.2,38,10.7,14.4,9.2
1400000US12057001100,Census Tract 11; Hillsborough County; Florida,904,122,18,22,394,132,389,102,103,55,904,(X),2,2.5,43.6,11.9,43,10.9,11.4,6
1400000US12057001200,Census Tract 12; Hillsborough County; Florida,1423,427,130,90,716,429,478,144,99,56,1423,(X),9.1,7.3,50.3,16.5,33.6,12.1,7,4.2
1400000US12057001300,Census Tract 13; Hillsborough County; Florida,2159,288,390,160,646,218,636,279,487,214,2159,(X),18.1,7.6,29.9,9.9,29.5,11.3,22.6,9.4
1400000US12057001400,Census Tract 14; Hillsborough County; Florida,1847,232,198,156,643,218,730,192,276,133,1847,(X),10.7,7.9,34.8,11.4,39.5,9.8,14.9,7.1
1400000US12057001500,Census Tract 15; Hillsborough County; Florida,1243,201,79,66,477,126,344,100,343,208,1243,(X),6.4,5.5,38.4,10.3,27.7,8.7,27.6,13.5
1400000US12057001600,Census Tract 16; Hillsborough County; Florida,1016,102,82,69,304,101,483,109,147,59,1016,(X),8.1,6.7,29.9,8.7,47.5,9.8,14.5,6.1
1400000US12057001700,Census Tract 17; Hillsborough County; Florida,1932,190,112,72,645,180,908,168,267,117,1932,(X),5.8,3.7,33.4,8,47,8.3,13.8,6
1400000US12057001800,Census Tract 18; Hillsborough County; Florida,1821,206,208,110,976,227,476,150,161,113,1821,(X),11.4,5.9,53.6,9.6,26.1,8.7,8.8,6.1
1400000US12057001900,Census Tract 19; Hillsborough County; Florida,1027,106,15,20,526,109,337,102,149,87,1027,(X),1.5,2,51.2,10,32.8,8.4,14.5,8.4
1400000US12057002000,Census Tract 20; Hillsborough County; Florida,981,81,88,40,512,105,266,93,115,61,981,(X),9,4.2,52.2,9.9,27.1,9,11.7,6
1400000US12057002100,Census Tract 21; Hillsborough County; Florida,1266,279,78,60,627,270,443,121,118,57,1266,(X),6.2,4.7,49.5,13,35,10.6,9.3,5.1
1400000US12057002200,Census Tract 22; Hillsborough County; Florida,787,92,18,16,340,86,311,80,118,60,787,(X),2.3,2.1,43.2,8.8,39.5,8.9,15,7.8
1400000US12057002300,Census Tract 23; Hillsborough County; Florida,1543,131,116,88,529,118,716,165,182,77,1543,(X),7.5,5.7,34.3,7.8,46.4,8.7,11.8,5
1400000US12057002400,Census Tract 24; Hillsborough County; Florida,1781,167,191,92,778,183,605,135,207,107,1781,(X),10.7,5,43.7,9.8,34,7,11.6,5.9
