STATEFP,COUNTYFP,TRACTCE,GEOIDFQ,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,transit_coverage_pct,GEO_ID,pct_no_vehicle,pct_seniors,pct_disability,pct_below_poverty,GEOID_SHORT,rank_vehicle,rank_seniors,rank_disability,rank_poverty,social_need_score,transit_supply_score,transit_gap_score,community_name
12,057,011804,1400000US12057011804,12057011804,118.04,Census Tract 118.04,FL,Hillsborough County,Florida,CT,3204224,81908,24.83767009673888,1400000US12057011804,2.7,31.0,50.0,14.7,12057011804,0.382262996941896,0.6513761467889908,0.8553846153846154,0.6330275229357798,0.6305128205128205,0.5225225225225225,55.7,Egypt Lake-Leto
12,057,002100,1400000US12057002100,12057002100,21,Census Tract 21,FL,Hillsborough County,Florida,CT,1300151,0,97.05139872136198,1400000US12057002100,6.2,18.6,26.8,16.4,12057002100,0.6422018348623854,0.18042813455657492,0.28307692307692306,0.6865443425076453,0.4480628087508821,0.9279279279279279,15.0,Tampa
12,057,006801,1400000US12057006801,12057006801,68.01,Census Tract 68.01,FL,Hillsborough County,Florida,CT,1962702,14718,33.10907709499783,1400000US12057006801,3.8,28.0,47.8,10.2,12057006801,0.4877675840978593,0.518348623853211,0.8184615384615385,0.41590214067278286,0.5601199717713479,0.6066066066066066,45.0,Tampa
12,057,980700,1400000US12057980700,12057980700,9807,Census Tract 9807,FL,Hillsborough County,Florida,CT,2022293,255519,9.218231722455004,1400000US12057980700,,,,,12057980700,,,,,,0.3483483483483483,,Northdale
12,057,003300,1400000US12057003300,12057003300,33,Census Tract 33,FL,Hillsborough County,Florida,CT,790735,0,100.0,1400000US12057003300,23.7,35.9,44.3,24.6,12057003300,0.9510703363914373,0.7935779816513762,0.7553846153846154,0.8623853211009175,0.8406045636320867,0.9954954954954955,37.5,Tampa
12,057,000202,1400000US12057000202,12057000202,2.02,Census Tract 2.02,FL,Hillsborough County,Florida,CT,1950904,33570,96.95168204518069,1400000US12057000202,15.2,26.4,28.6,30.0,12057000202,0.8975535168195719,0.4602446483180428,0.3446153846153846,0.9143730886850153,0.6541966596095036,0.9219219219219219,29.7,Tampa
12,057,013602,1400000US12057013602,12057013602,136.02,Census Tract 136.02,FL,Hillsborough County,Florida,CT,7909536,66478,11.149926131046616,1400000US12057013602,2.2,16.2,44.6,13.1,12057013602,0.30428134556574926,0.12691131498470948,0.7753846153846153,0.5672782874617737,0.44346389084921195,0.37237237237237236,53.1,Palm River-Clair Mel
12,057,013002,1400000US12057013002,12057013002,130.02,Census Tract 130.02,FL,Hillsborough County,Florida,CT,18588546,270455,0.0,1400000US12057013002,1.3,20.1,19.3,23.8,12057013002,0.17889908256880735,0.2415902140672783,0.10307692307692308,0.845565749235474,0.34228299223712066,0.11861861861861862,63.7,Rural Hillsborough County
12,057,004400,1400000US12057004400,12057004400,44,Census Tract 44,FL,Hillsborough County,Florida,CT,931438,0,94.1172750523718,1400000US12057004400,12.8,26.7,42.0,29.9,12057004400,0.8577981651376146,0.46788990825688076,0.6984615384615385,0.9113149847094801,0.7338661491413785,0.8918918918918919,37.3,Tampa
12,057,013206,1400000US12057013206,12057013206,132.06,Census Tract 132.06,FL,Hillsborough County,Florida,CT,5320034,32268,0.040727259160867134,1400000US12057013206,1.8,32.8,38.3,11.5,12057013206,0.25229357798165136,0.7140672782874617,0.6169230769230769,0.4908256880733945,0.5185274053163961,0.24624624624624625,67.0,Valrico
12,057,014117,1400000US12057014117,12057014117,141.17,Census Tract 141.17,FL,Hillsborough County,Florida,CT,4072268,2586755,0.0,1400000US12057014117,2.0,43.2,27.1,4.7,12057014117,0.27217125382262997,0.9128440366972477,0.3046153846153846,0.13914373088685014,0.40719360150552814,0.11861861861861862,68.2,Apollo Beach
12,057,012211,1400000US12057012211,12057012211,122.11,Census Tract 122.11,FL,Hillsborough County,Florida,CT,9624583,126831,26.32761535325927,1400000US12057012211,5.6,19.4,0.0,92.9,12057012211,0.5948012232415902,0.21406727828746178,0.004615384615384616,0.9969418960244648,0.45260644554222534,0.5375375375375375,42.3,Brandon
12,057,000201,1400000US12057000201,12057000201,2.01,Census Tract 2.01,FL,Hillsborough County,Florida,CT,988663,6988,96.03440377952771,1400000US12057000201,25.6,22.8,34.7,51.4,12057000201,0.9602446483180428,0.32262996941896027,0.5153846153846153,0.9847094801223242,0.6957421783109856,0.9099099099099099,33.4,Tampa
12,057,002300,1400000US12057002300,12057002300,23,Census Tract 23,FL,Hillsborough County,Florida,CT,1490348,66323,84.71719894901639,1400000US12057002300,7.5,23.7,43.1,9.0,12057002300,0.7003058103975535,0.3562691131498471,0.7261538461538461,0.36850152905198774,0.5378075746883086,0.8438438438438438,27.0,Tampa
12,057,002702,1400000US12057002702,12057002702,27.02,Census Tract 27.02,FL,Hillsborough County,Florida,CT,1235845,24914,88.12147868893557,1400000US12057002702,4.4,34.4,25.0,3.4,12057002702,0.5229357798165137,0.7553516819571865,0.21846153846153846,0.0779816513761468,0.3936826629028464,0.8678678678678678,15.4,Tampa
