GEO_ID,pct_no_vehicle,pct_seniors,pct_disability,pct_below_poverty
1400000US12057000101,4.9,13.3,18.9,26.2
1400000US12057000102,18.9,41.0,44.4,43.4
1400000US12057000201,25.6,22.8,34.7,51.4
1400000US12057000202,15.2,26.4,28.6,30.0
1400000US12057000301,25.9,29.1,19.7,35.9
1400000US12057000302,6.8,26.8,28.5,21.4
1400000US12057000401,15.2,32.8,37.0,13.4
1400000US12057000402,11.5,33.5,51.2,22.1
1400000US12057000500,2.1,37.0,39.7,16.7
1400000US12057000601,5.9,22.8,47.6,24.3
1400000US12057000602,6.2,28.2,31.4,19.3
1400000US12057000701,14.8,23.7,64.9,42.8
1400000US12057000702,17.5,17.0,57.0,39.1
1400000US12057000800,1.6,24.4,47.7,12.8
1400000US12057000901,10.9,21.3,41.0,25.9
1400000US12057000902,13.5,31.7,24.0,29.6
1400000US12057001001,17.9,32.5,43.7,19.8
1400000US12057001002,7.7,40.8,59.3,26.5
1400000US12057001100,2.0,19.9,42.9,28.0
1400000US12057001200,9.1,35.4,14.7,25.7
1400000US12057001300,18.1,37.4,40.3,12.6
1400000US12057001400,10.7,26.5,49.8,13.6
1400000US12057001500,6.4,24.9,40.5,17.2
1400000US12057001600,8.1,18.7,64.1,15.4
1400000US12057001700,5.8,23.0,56.2,18.7
1400000US12057001800,11.4,33.7,49.8,23.3
1400000US12057001900,1.5,21.4,60.1,16.6
1400000US12057002000,9.0,31.6,55.9,12.2
1400000US12057002100,6.2,18.6,26.8,16.4
1400000US12057002200,2.3,24.1,37.0,6.3
1400000US12057002300,7.5,23.7,43.1,9.0
1400000US12057002400,10.7,30.3,45.8,12.9
1400000US12057002500,13.3,35.1,47.9,19.3
1400000US12057002600,12.9,28.8,32.0,22.7
1400000US12057002701,9.7,36.1,42.2,10.1
1400000US12057002702,4.4,34.4,25.0,3.4
1400000US12057002800,1.1,24.5,13.5,3.4
1400000US12057002900,10.9,21.2,68.8,15.8
1400000US12057003000,16.4,12.8,26.7,27.1
1400000US12057003100,26.5,19.4,54.3,48.1
1400000US12057003200,34.1,31.4,76.3,28.5
1400000US12057003300,23.7,35.9,44.3,24.6
1400000US12057003400,35.2,15.2,50.7,43.4
1400000US12057003500,16.4,26.4,31.1,29.3
1400000US12057003600,26.6,31.3,59.4,12.0
1400000US12057003700,6.0,14.0,61.8,37.1
1400000US12057003800,0.8,22.1,51.1,14.3
1400000US12057004100,29.3,35.8,62.7,42.3
1400000US12057004200,5.9,19.7,33.3,19.7
1400000US12057004300,31.4,37.4,43.4,54.4
1400000US12057004400,12.8,26.7,42.0,29.9
1400000US12057004500,13.0,38.3,57.0,10.5
1400000US12057004601,3.9,9.1,72.4,10.0
1400000US12057004602,9.0,12.3,40.8,14.0
1400000US12057004700,10.4,24.8,31.8,15.3
1400000US12057004800,4.8,29.1,32.9,7.7
1400000US12057004901,4.3,19.8,38.3,17.1
1400000US12057004902,7.6,7.5,79.8,7.8
1400000US12057005000,17.1,20.2,35.4,20.1
1400000US12057005101,22.8,12.9,49.0,20.2
1400000US12057005102,5.1,13.5,12.2,7.1
1400000US12057005301,6.5,5.5,23.9,13.6
1400000US12057005302,14.5,31.1,34.2,12.6
1400000US12057005401,1.0,25.7,15.6,1.5
1400000US12057005500,0.0,21.8,19.3,8.3
1400000US12057005700,3.3,23.9,58.8,11.1
1400000US12057005800,3.9,25.1,23.1,3.2
1400000US12057005900,3.0,28.0,17.5,2.7
1400000US12057006000,0.4,27.7,19.6,1.7
1400000US12057006101,1.6,26.2,13.1,6.0
1400000US12057006103,5.1,47.4,24.7,6.4
1400000US12057006200,0.9,14.3,31.7,2.5
1400000US12057006300,1.3,23.0,25.4,8.3
1400000US12057006400,0.0,26.1,19.1,1.6
1400000US12057006501,11.8,34.3,35.0,6.8
1400000US12057006503,3.9,15.9,30.0,9.6
1400000US12057006504,2.2,53.8,22.5,11.3
1400000US12057006600,4.8,35.1,37.6,8.9
1400000US12057006700,0.9,25.7,37.8,1.8
1400000US12057006801,3.8,28.0,47.8,10.2
1400000US12057006802,7.7,30.7,43.6,8.6
1400000US12057006900,6.0,23.0,24.4,4.5
1400000US12057007001,2.3,25.7,40.1,13.2
1400000US12057007002,2.6,13.1,37.2,18.7
1400000US12057007102,0.0,8.2,35.4,6.3
1400000US12057007103,2.9,27.7,44.6,7.4
1400000US12057007200,7.8,12.8,22.7,12.7
1400000US12057007300,5.2,0.0,,2.5
1400000US12057010105,2.1,35.3,26.1,9.6
1400000US12057010106,5.0,37.6,54.2,20.1
1400000US12057010107,6.3,52.1,38.5,19.6
1400000US12057010108,1.5,39.7,27.5,7.8
1400000US12057010203,1.6,22.2,40.4,17.7
1400000US12057010204,0.0,29.4,37.9,13.7
1400000US12057010210,8.8,23.7,28.0,12.9
1400000US12057010211,2.4,24.1,20.0,17.5
1400000US12057010212,2.3,28.9,33.9,7.2
1400000US12057010213,1.4,31.6,31.8,11.9
1400000US12057010215,0.2,17.6,15.5,0.9
1400000US12057010216,0.8,18.7,25.8,3.7
1400000US12057010217,1.4,15.6,24.6,4.2
1400000US12057010218,1.9,28.1,17.2,8.6
1400000US12057010303,9.9,41.7,27.4,12.1
1400000US12057010304,2.8,40.9,43.0,18.9
1400000US12057010305,8.4,29.5,58.1,18.6
1400000US12057010401,5.6,28.2,46.4,15.1
